"Step","obs_best_seed0/11-29_18-39 - train/stats.tracking_error","obs_best_seed0/11-29_18-39 - train/stats.tracking_error__MIN","obs_best_seed0/11-29_18-39 - train/stats.tracking_error__MAX"
"7328","-0.014457096345722675","-0.014457096345722675","-0.014457096345722675"
"7352","-0.014577311463654041","-0.014577311463654041","-0.014577311463654041"
"7376","-0.014348034746944904","-0.014348034746944904","-0.014348034746944904"
"7400","-0.014011836610734463","-0.014011836610734463","-0.014011836610734463"
"7424","-0.013793549500405788","-0.013793549500405788","-0.013793549500405788"
"7448","-0.013232042081654072","-0.013232042081654072","-0.013232042081654072"
"7472","-0.01292470097541809","-0.01292470097541809","-0.01292470097541809"
"7496","-0.012803579680621624","-0.012803579680621624","-0.012803579680621624"
"7520","-0.013347188010811806","-0.013347188010811806","-0.013347188010811806"
"7544","-0.013143074698746204","-0.013143074698746204","-0.013143074698746204"
"7568","-0.014293125830590725","-0.014293125830590725","-0.014293125830590725"
"7592","-0.014697933569550514","-0.014697933569550514","-0.014697933569550514"
"7616","-0.014600730501115322","-0.014600730501115322","-0.014600730501115322"
"7640","-0.015452674590051174","-0.015452674590051174","-0.015452674590051174"
"7664","-0.01420648768544197","-0.01420648768544197","-0.01420648768544197"
"7688","-0.01428111083805561","-0.01428111083805561","-0.01428111083805561"
"7712","-0.014853695407509804","-0.014853695407509804","-0.014853695407509804"
"7736","-0.014286069199442863","-0.014286069199442863","-0.014286069199442863"
"7760","-0.013742622919380665","-0.013742622919380665","-0.013742622919380665"
"7784","-0.01355424802750349","-0.01355424802750349","-0.01355424802750349"
"7808","-0.013501510955393314","-0.013501510955393314","-0.013501510955393314"
"7832","-0.013313302770256996","-0.013313302770256996","-0.013313302770256996"
"7856","-0.014239911921322346","-0.014239911921322346","-0.014239911921322346"
"7880","-0.015911497175693512","-0.015911497175693512","-0.015911497175693512"
"7904","-0.014277201145887375","-0.014277201145887375","-0.014277201145887375"
